region	population
АзССР	3056978
АрССР	1209253
БССР	5196549
ГрузССР	3376946
КазССР	5120173
КирССР	1369667
РСФСР	103967924
ТаджССР	1382168
ТуркССР	1168538
УзССР	5847448
УССР	28387609
