region	population
АзССР	3205150
АрССР	1282338
БССР	5568994
ГрузССР	3540023
КазССР	6151102
КирССР	1458213
Латвийская ССР	1905936
Литовская ССР	2550000
РСФСР	109397463
ТаджССР	1484440
ТуркССР	1251883
УзССР	6271269
УССР	30946218
Эстонская ССР	1126413
