region	population	num_cards	num_cards_extrapolated
АзССР	3205150	86367	101189
АрССР	1282338	31328	36509
БССР	5568994	156306	186698
ГрузССР	3540023	58623	70310
КазССР	6151102	269497	306563
КирССР	1458213	59288	68253
Латвийская ССР	1905936	12726	14702
Литовская ССР	2550000	43351	47538
РСФСР	109397463	4687896	5475481
ТаджССР	1484440	47356	54686
ТуркССР	1251883	37414	44282
УзССР	6271269	209510	244515
УССР	30946218	834856	976129
Эстонская ССР	1126413	9932	10656
