region	population
РСФСР	103967924
УССР	28387609
БССР	5196549
АзССР	3056978
ГрузССР	3376946
АрССР	1209253
УзССР	5847448
ТуркССР	1168538
ТаджССР	1382168
КазССР	5120173
КирССР	1369667
